Dzheri,0.02297702,BTC,11515064256831877120,Raiffeisenbank,1692376040
AlaniCrypto,0.00032421,BTC,11517952169338560512,QIWI,1692376040
Moneymagnat,0.00014985,BTC,11519090631307001856,QIWI,1692376040
Light_111,0.06344355,BTC,11510983750189830144,RosBank,1692376040
baza-fh16,0.01039158,BTC,11525888783722237952,Tinkoff,1692376096
Veranikitina_btc,0.00962477,BTC,11485476344544030720,Þmoney,1692376096
P2P_Mama,0.00788901,BTC,11523678481133518848,Tinkoff,1692376153
NobleDigital,0.53200000,BTC,11525747860374016000,SEPA Instant,1692376352
PROFITonly,0.03802389,BTC,11515355496147927040,RosBank,1692376380
Treyders,0.00098778,BTC,11514888186684174336,A-Bank,1692376405
wilsonInvestment,0.00498603,BTC,11501537485775364096,Banco General Panama,1692376409
BogdanF,0.00273971,BTC,11481503394590896128,PUMB,1692376457
Vosit-official,0.00395175,BTC,11508846399929593856,RosBank,1692376493
dominoryadom13,0.00186924,BTC,11525891468430946304,Tinkoff,1692376607
Lemacoin,0.00666200,BTC,11442141636701687808,SEPA Instant,1692376774
PandA,0.00074637,BTC,11519589115683434496,RosBank,1692376835
DoFFi-trade,0.00056000,BTC,11525763834265206784,RosBank,1692377005
Criptowindy,0.00566592,BTC,11513859775471890432,Advcash,1692377118
PROFITonly,0.01698303,BTC,11515355496147927040,RosBank,1692377175
Treyders,0.00089156,BTC,11514888186684174336,A-Bank,1692377196
Shan,0.00071466,BTC,11477605218488795136,Monobank,1692377301
nikturev,0.02732463,BTC,11515308377410232320,Ak Bars Bank,1692377402
BogdanF,0.00319999,BTC,11481503394590896128,PUMB,1692377459
-nobody-,0.00374051,BTC,11520080344905064448,A-Bank,1692377723
CryptoLove,0.01401851,BTC,11479440078915682304,Advcash,1692377858
BogdanF,0.00319999,BTC,11481503394590896128,PUMB,1692377934
EagleExchange,0.23843371,BTC,11483979355467657216,Tinkoff,1692377971
_Broker535,0.24104160,BTC,11488173255010091008,Tinkoff,1692377971
Kripto_p2p,0.02659462,BTC,11518107593095344128,RosBank,1692377971
ALIENWARE-,0.00648102,BTC,11525893221929209856,Tinkoff,1692378029
_SEMOM_,0.00039220,BTC,11525604891188178944,Tinkoff,1692378085
dominoryadom13,0.00028544,BTC,11525891468430946304,Tinkoff,1692378142
Andry,0.00240991,BTC,11504123536795549696,Monobank,1692378198
BTC_CARDS,0.00499500,BTC,11525795021069504512,A-Bank,1692378198
Shan,0.00071466,BTC,11477605218488795136,Monobank,1692378250
Akbarchiki,0.00149985,BTC,11525885317093961728,Tinkoff,1692378369
PROFITonly,0.02200594,BTC,11515355496147927040,RosBank,1692378426
P2P_Mama,0.00583451,BTC,11523678481133518848,Tinkoff,1692378482
BIT_BULL,0.07900101,BTC,11522807736256335872,MTS-Bank,1692378482
niresvicente,0.00224371,BTC,11516077380954636288,Ita Uruguay,1692378491
PROFITonly,0.02222312,BTC,11515355496147927040,RosBank,1692378539
king_sigma,0.06235009,BTC,11525897724389924864,Raiffeisenbank,1692378539
Bimbu,0.01984247,BTC,11511711900134486016,Monobank,1692378567
Kripto_p2p,0.01861289,BTC,11518107593095344128,RosBank,1692378652
Ahiles,0.04986182,BTC,11520604352993427456,Raiffeisenbank,1692378652
Criptosha29,0.19920345,BTC,11428799760906674176,Tinkoff,1692378709
david,0.00440367,BTC,11514879274777751552,PUMB,1692378725
yurap2p,0.15304186,BTC,11502731952905199616,ABN AMRO,1692378727
H2O-PEKA_MOPE_OKEAH,0.00349556,BTC,11520879723065143296,Tinkoff,1692378766
Criptowindy,0.00366656,BTC,11513859775471890432,Advcash,1692378822
Raisin23,0.00720515,BTC,11525820081929691136,RosBank,1692378822
motorrr8,0.04699051,BTC,11525521750654263296,Tinkoff,1692378822
